City_ID,City,Country,Date,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed
84,Port Hardy,CA,2022-10-06 04:27:48,50.6996,-127.4199,few clouds,59.18,88,20,3.44
85,Puerto Ayora,EC,2022-10-06 04:27:48,-0.7393,-90.3518,broken clouds,65.55,97,68,4.0
86,Kapaa,US,2022-10-06 04:27:49,22.0752,-159.319,few clouds,80.58,74,20,12.66
87,Codrington,AU,2022-10-06 04:23:06,-38.2667,141.9667,overcast clouds,65.19,80,96,13.94
88,Ponta Do Sol,PT,2022-10-06 04:27:49,32.6667,-17.1,scattered clouds,70.43,83,28,6.29
89,Hue,VN,2022-10-06 04:27:50,16.4667,107.6,light rain,80.71,89,75,4.61
90,Busselton,AU,2022-10-06 04:27:50,-33.65,115.3333,overcast clouds,56.55,72,92,14.12
91,Mehamn,NO,2022-10-06 04:27:50,71.0357,27.8492,overcast clouds,42.71,87,90,12.5
92,Port Elizabeth,ZA,2022-10-06 04:27:51,-33.918,25.5701,broken clouds,59.31,84,75,14.97
93,Bethel,US,2022-10-06 04:23:59,41.3712,-73.414,overcast clouds,60.89,88,100,4.61
94,Alyangula,AU,2022-10-06 04:27:51,-13.8483,136.4192,scattered clouds,86.59,61,43,8.88
95,Sechura,PE,2022-10-06 04:28:52,-5.5569,-80.8222,clear sky,61.61,83,3,11.61
96,Victoria,HK,2022-10-06 04:25:46,22.2855,114.1577,scattered clouds,91.96,71,41,8.99
97,Chokurdakh,RU,2022-10-06 04:28:52,70.6333,147.9167,overcast clouds,21.81,90,98,9.78
98,Avera,US,2022-10-06 04:28:52,33.194,-82.5271,broken clouds,54.37,40,52,2.89
99,Yining,CN,2022-10-06 04:28:53,29.0361,114.5636,overcast clouds,59.11,83,100,2.68
100,Tual,ID,2022-10-06 04:28:53,-5.6667,132.75,overcast clouds,83.17,76,99,10.83
101,Pisco,PE,2022-10-06 04:28:54,-13.7,-76.2167,smoke,59.05,82,100,2.3
102,Dikson,RU,2022-10-06 04:28:54,73.5069,80.5464,overcast clouds,32.27,96,100,15.12
103,Bayan,CN,2022-10-06 04:28:54,46.0833,127.4,clear sky,49.24,27,2,11.61
104,Saint-Philippe,RE,2022-10-06 04:28:55,-21.3585,55.7679,scattered clouds,74.79,71,40,12.35
105,Kaoma,ZM,2022-10-06 04:28:55,-14.7833,24.8,scattered clouds,63.19,32,25,7.85
106,Kodiak,US,2022-10-06 04:28:56,57.79,-152.4072,overcast clouds,53.11,82,100,8.05
107,Ubauro,PK,2022-10-06 04:28:56,28.1652,69.7289,clear sky,89.22,27,0,4.9
108,Vizinga,RU,2022-10-06 04:26:59,61.0749,50.1031,overcast clouds,43.47,96,100,4.25
109,Henties Bay,NA,2022-10-06 04:28:57,-22.116,14.2845,broken clouds,55.11,87,74,8.01
110,Vihari,PK,2022-10-06 04:28:57,30.0333,72.35,clear sky,92.28,17,0,7.72
111,Biltine,TD,2022-10-06 04:28:57,14.5333,20.9167,overcast clouds,85.77,22,99,2.1
112,Pevek,RU,2022-10-06 04:28:58,69.7008,170.3133,light snow,32.45,97,100,8.97
113,Saldanha,ZA,2022-10-06 04:28:58,-33.0117,17.9442,overcast clouds,46.45,79,100,3.49
114,Lac Du Bonnet,CA,2022-10-06 04:28:59,50.2536,-96.0612,overcast clouds,39.0,60,99,14.52
115,Bredasdorp,ZA,2022-10-06 04:28:59,-34.5322,20.0403,clear sky,47.89,90,9,7.58
116,Cape Town,ZA,2022-10-06 04:26:02,-33.9258,18.4232,scattered clouds,61.38,78,40,6.91
117,Chuy,UY,2022-10-06 04:28:59,-33.6971,-53.4616,overcast clouds,58.68,83,100,10.27
118,Arman,RU,2022-10-06 04:24:49,59.7,150.1667,overcast clouds,34.02,45,100,3.18
119,Floro,NO,2022-10-06 04:29:00,61.5996,5.0328,broken clouds,51.76,82,75,24.16
120,Saint George,US,2022-10-06 04:25:04,37.1041,-113.5841,clear sky,79.39,23,0,9.22
121,Tamandare,BR,2022-10-06 04:29:00,-8.7597,-35.1047,clear sky,74.98,90,7,7.25
122,Gaoual,GN,2022-10-06 04:29:01,11.75,-13.2,few clouds,73.65,96,12,2.26
123,Bellevue,US,2022-10-06 04:28:05,47.6104,-122.2007,mist,58.6,90,0,4.61
124,Pocone,BR,2022-10-06 04:29:01,-16.2567,-56.6228,broken clouds,81.5,58,60,5.32
125,Ancud,CL,2022-10-06 04:29:02,-41.8697,-73.8203,broken clouds,45.39,83,59,6.85
126,Neuquen,AR,2022-10-06 04:29:02,-38.9516,-68.0591,clear sky,57.09,44,0,6.91
127,Cayenne,GF,2022-10-06 04:25:29,4.9333,-52.3333,few clouds,75.24,94,20,0.0
128,Gushikawa,JP,2022-10-06 04:29:03,26.3544,127.8686,scattered clouds,85.62,70,40,8.05
129,Pocatello,US,2022-10-06 04:29:03,42.8713,-112.4455,clear sky,64.67,42,0,8.99
130,Berlevag,NO,2022-10-06 04:29:03,70.8578,29.0864,overcast clouds,42.75,81,100,14.97
131,Challans,FR,2022-10-06 04:29:04,46.8436,-1.8749,broken clouds,50.92,87,51,6.71
132,Portland,US,2022-10-06 04:25:00,45.5234,-122.6762,few clouds,63.28,86,20,1.99
133,Challapata,BO,2022-10-06 04:29:05,-18.9,-66.7667,clear sky,37.09,18,0,2.57
134,Goderich,CA,2022-10-06 04:29:05,43.7501,-81.7165,overcast clouds,59.92,77,100,3.44
135,Walvis Bay,NA,2022-10-06 04:29:06,-22.9575,14.5053,clear sky,54.55,87,0,10.36
136,Alice Springs,AU,2022-10-06 04:29:06,-23.7,133.8833,clear sky,92.75,40,0,17.27
137,Andenes,NO,2022-10-06 04:29:07,69.3143,16.1194,light intensity drizzle,44.92,85,75,14.97
138,Iracoubo,GF,2022-10-06 04:30:07,5.4802,-53.2011,clear sky,78.62,85,4,10.36
139,Hornepayne,CA,2022-10-06 04:30:08,49.2138,-84.7705,overcast clouds,50.94,98,100,7.2
140,Marshfield,US,2022-10-06 04:30:08,44.6689,-90.1718,overcast clouds,57.15,88,100,9.22
141,Williams Lake,CA,2022-10-06 04:28:03,52.1415,-122.1445,few clouds,59.05,68,20,6.91
142,Batagay-Alyta,RU,2022-10-06 04:30:09,67.8006,130.4114,overcast clouds,21.25,75,93,10.76
143,Hasaki,JP,2022-10-06 04:30:10,35.7333,140.8333,light rain,55.8,84,100,26.53
144,Rio Grande,BR,2022-10-06 04:30:10,-32.035,-52.0986,overcast clouds,61.45,82,100,18.9
145,Umm Kaddadah,SD,2022-10-06 04:30:10,13.6017,26.6876,overcast clouds,83.86,49,98,5.57
146,Lebu,CL,2022-10-06 04:30:11,-37.6167,-73.65,light rain,50.49,95,100,13.8
147,Cairns,AU,2022-10-06 04:30:11,-16.9167,145.7667,broken clouds,91.06,58,57,16.11
148,Khatanga,RU,2022-10-06 04:30:12,71.9667,102.5,overcast clouds,15.28,96,100,6.13
149,Seydisehir,TR,2022-10-06 04:30:12,37.4193,31.8453,broken clouds,54.73,74,82,3.98
150,Sao Filipe,CV,2022-10-06 04:30:13,14.8961,-24.4956,scattered clouds,78.06,86,48,13.18
151,Aguie,NE,2022-10-06 04:30:13,13.506,7.7786,broken clouds,81.84,49,61,4.61
152,Huarmey,PE,2022-10-06 04:30:14,-10.0681,-78.1522,broken clouds,60.67,85,54,9.08
153,Zhigansk,RU,2022-10-06 04:30:15,66.7697,123.3711,overcast clouds,26.13,72,89,27.6
154,Beloha,MG,2022-10-06 04:30:15,-25.1667,45.05,clear sky,79.88,56,3,1.59
155,Georgetown,MY,2022-10-06 04:30:15,5.4112,100.3354,few clouds,85.98,74,20,4.61
156,Kirakira,SB,2022-10-06 04:30:16,-10.4544,161.9205,broken clouds,81.93,76,76,6.38
157,Sakakah,SA,2022-10-06 04:30:16,29.9697,40.2064,clear sky,78.37,17,0,7.63
