City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
250,Aksehir,TR,broken clouds,52.43,38.3575,31.4164,Akşehir
253,Grindavik,IS,broken clouds,41.47,63.8424,-22.4338,Grindavik
256,Te Anau,NZ,overcast clouds,42.35,-45.4167,167.7167,Te Anau
258,Monticello,US,broken clouds,60.58,45.3055,-93.7941,Monticello
259,Sitagroi,GR,broken clouds,52.79,41.1167,24.0333,Kalos Agros
262,Brigantine,US,overcast clouds,60.06,39.4101,-74.3646,Atlantic City
263,Beysehir,TR,broken clouds,53.85,37.6773,31.7246,Beyşehir
264,Nuevo Ideal,MX,broken clouds,55.06,24.8875,-105.0728,Nuevo Ideal
266,Kholtoson,RU,broken clouds,43.45,50.2981,103.3097,Zakamensk
267,Bafra,TR,overcast clouds,61.83,41.5678,35.9069,Bafra
269,Guerrero Negro,MX,clear sky,69.93,27.9769,-114.0611,Guerrero Negro
271,Saquarema,BR,overcast clouds,67.89,-22.92,-42.5103,Saquarema
273,Rabo De Peixe,PT,few clouds,68.27,37.8,-25.5833,Ribeira Grande
275,Vardo,NO,overcast clouds,46.38,70.3705,31.1107,Vardo
277,Provideniya,RU,light rain,42.15,64.3833,-173.3,Provideniya
279,Yuncheng,CN,overcast clouds,52.47,35.0231,110.9928,Yuncheng
280,Hualmay,PE,few clouds,60.06,-11.0964,-77.6139,Huacho
281,Abu Samrah,SY,clear sky,69.19,35.3029,37.1841,Suruj
284,Paris,FR,clear sky,54.1,48.8534,2.3488,Paris
292,Rota,ES,clear sky,66.33,36.6224,-6.3586,El Puerto de Santa María
298,Worthington,US,clear sky,53.73,40.0931,-83.018,Columbus
299,Sobolevo,RU,broken clouds,45.41,54.4299,31.8996,Sobolevo
300,Carnarvon,AU,clear sky,69.78,-24.8667,113.6333,Carnarvon
301,Viedma,AR,clear sky,55.99,-40.8135,-62.9967,Viedma
303,Roald,NO,light intensity shower rain,53.76,62.5833,6.1333,Roald
305,Richmond,US,few clouds,57.15,37.5538,-77.4603,Richmond
309,Boyabat,TR,overcast clouds,56.7,41.4689,34.7667,Boyabat
312,Kingaroy,AU,overcast clouds,69.35,-26.5333,151.8333,Kingaroy
317,Yinchuan,CN,clear sky,61.63,38.4681,106.2731,Yinchuan
318,Zhangye,CN,clear sky,57.4,38.9342,100.4517,Zhangye
319,Santa Maria,BR,light rain,59.94,-29.6842,-53.8069,Santa Maria
320,Bethal,ZA,clear sky,58.55,-26.4579,29.4655,Bethal
321,Kamenka,RU,overcast clouds,46.4,51.3223,42.7678,Kamenka
322,Jalu,LY,few clouds,68.58,29.0331,21.5482,Jalu
324,Atbasar,KZ,overcast clouds,55.29,51.8,68.3333,Atbasar
326,Nikolskoye,RU,overcast clouds,51.69,59.7035,30.7861,Saint Petersburg
328,Valentin Gomez Farias,MX,overcast clouds,58.15,28.2167,-106.5833,Santa Cruz de Mayo
329,Englewood,US,scattered clouds,58.57,39.6478,-104.9878,Denver
